trace_number,ffid,sx,sy,gx,gy
728,4,2240,0,6900,0
729,4,2240,0,6950,0
730,4,2240,0,7000,0
731,4,2240,0,7050,0
732,4,2240,0,7100,0
733,4,2240,0,7150,0
734,4,2240,0,7200,0
735,4,2240,0,7250,0
736,4,2240,0,7300,0
737,4,2240,0,7350,0
738,4,2240,0,7400,0
739,4,2240,0,7450,0
740,4,2240,0,7500,0
741,4,2240,0,7550,0
742,4,2240,0,7600,0
743,4,2240,0,7650,0
744,4,2240,0,7700,0
745,4,2240,0,7750,0
746,4,2240,0,7800,0
747,4,2240,0,7850,0
748,4,2240,0,7900,0
749,4,2240,0,7950,0
750,4,2240,0,8000,0
751,4,2240,0,8050,0
752,4,2240,0,8100,0
753,4,2240,0,8150,0
754,4,2240,0,8200,0
755,4,2240,0,8250,0
756,4,2240,0,8300,0
757,4,2240,0,8350,0
758,4,2240,0,8400,0
759,4,2240,0,8450,0
760,4,2240,0,8500,0
761,4,2240,0,8550,0
762,4,2240,0,8600,0
763,4,2240,0,8650,0
764,4,2240,0,8700,0
765,4,2240,0,8750,0
766,4,2240,0,8800,0
767,4,2240,0,8850,0
768,4,2240,0,8900,0
769,4,2240,0,8950,0
770,4,2240,0,9000,0
771,4,2240,0,9050,0
772,4,2240,0,9100,0
773,4,2240,0,9150,0
774,4,2240,0,9200,0
775,4,2240,0,9250,0
776,4,2240,0,9300,0
777,4,2240,0,9350,0
778,4,2240,0,9400,0
779,4,2240,0,9450,0
780,4,2240,0,9500,0
781,4,2240,0,9550,0
782,4,2240,0,9600,0
783,4,2240,0,9650,0
784,4,2240,0,9700,0
785,4,2240,0,9750,0
786,4,2240,0,9800,0
787,4,2240,0,9850,0
788,4,2240,0,9900,0
789,5,2853.333,0,100,0
790,5,2853.333,0,150,0
791,5,2853.333,0,200,0
792,5,2853.333,0,250,0
793,5,2853.333,0,300,0
794,5,2853.333,0,350,0
795,5,2853.333,0,400,0
796,5,2853.333,0,450,0
797,5,2853.333,0,500,0
798,5,2853.333,0,550,0
799,5,2853.333,0,600,0
800,5,2853.333,0,650,0
801,5,2853.333,0,700,0
802,5,2853.333,0,750,0
803,5,2853.333,0,800,0
804,5,2853.333,0,850,0
805,5,2853.333,0,900,0
806,5,2853.333,0,950,0
807,5,2853.333,0,1000,0
